#PVF_File

[Revision Table]
	
	[type]
		`character`
	[/type]
	210.7
	324	226.02	22.45	22.45	22.45	22.45	7.14	4.76	7.14	4.76	15.46	1	15.46	150.2	162.23
	169.75	18.06	18.06	18.06	18.06	6.44	4.29	6.44	4.29	13.1	1	13.1	116.57	108.3	135.99
	15.11	15.11	15.11	15.11	5.86	3.91	5.86	3.91	11.37	1	11.37	95.17	81.34	113.49	12.99
	12.99	12.99	12.99	5.38	3.59	5.38	3.59	10.05	1	10.05	80.34	65.16	97.42	11.4	11.4
	11.4	11.4	4.97	3.31	4.97	3.31	9	1	9	62.96	54.38	85.36	10.16	10.16	10.16
	10.16	4.62	3.08	4.62	3.08	8.16	1	8.16	55.49	46.68	75.99	9.16	9.16	9.16	9.16
	4.32	2.88	4.32	2.88	7.46	1	7.46	49.59	40.9	68.48	8.35	8.35	8.35	8.35	4.06
	2.7	4.06	2.7	6.87	1	6.87	44.81	36.41	62.34	7.67	7.67	7.67	7.67	3.82	2.55
	3.82	2.55	6.37	1	6.37	40.86	32.81	57.23	7.09	7.09	7.09	7.09	3.62	2.41	3.62
	2.41	5.94	1	5.94	33.98	29.87	52.9	6.6	6.6	6.6	6.6	3.43	2.29	3.43	2.29
	5.56	1	5.56	31.48	27.42	49.19	6.17	6.17	6.17	6.17	3.26	2.18	3.26	2.18	5.23
	1	5.23	29.32	25.34	45.97	5.79	5.79	5.79	5.79	3.11	2.07	3.11	2.07	4.94	1
	4.94	27.43	23.57	43.16	5.46	5.46	5.46	5.46	2.97	1.98	2.97	1.98	4.68	1	4.68
	25.78	22.03	40.68	5.17	5.17	5.17	5.17	2.85	1.9	2.85	1.9	4.45	1	4.45	21.52
	20.68	38.47	4.9	4.9	4.9	4.9	2.73	1.82	2.73	1.82	4.24	1	4.24	20.38	19.49
	36.49	4.66	4.66	4.66	4.66	2.63	1.75	2.63	1.75	4.04	1	4.04	19.35	18.43	34.72
	4.45	4.45	4.45	4.45	2.53	1.69	2.53	1.69	3.87	1	3.87	18.42	17.48	33.11	4.25
	4.25	4.25	4.25	2.44	1.63	2.44	1.63	3.71	1	3.71	17.58	16.63	31.64	4.08	4.08
	4.08	4.08	2.36	1.57	2.36	1.57	3.56	1	3.56	14.72	15.86	30.32	3.91	3.91	3.91
	3.91	2.28	1.52	2.28	1.52	3.43	1	3.43	14.12	15.16	29.09	3.76	3.76	3.76	3.76
	2.21	1.47	2.21	1.47	3.3	1	3.3	13.57	14.52	27.96	3.62	3.62	3.62	3.62	2.14
	1.42	2.14	1.42	3.19	1	3.19	13.06	13.94	26.92	3.49	3.49	3.49	3.49	2.07	1.38
	2.07	1.38	3.08	1	3.08	12.59	13.4	25.96	3.37	3.37	3.37	3.37	2.01	1.34	2.01
	1.34	2.98	1	2.98	9.94	12.9	25.06	3.26	3.26	3.26	3.26	1.96	1.3	1.96	1.3
	2.89	1	2.89	9.59	12.44	24.25	3.16	3.16	3.16	3.16	1.9	1.27	1.9	1.27	2.8
	1	2.8	9.28	12.01	23.47	3.06	3.06	3.06	3.06	1.85	1.24	1.85	1.24	2.72	1
	2.72	8.98	11.61	22.74	2.97	2.97	2.97	2.97	1.81	1.2	1.81	1.2	2.64	1	2.64
	8.7	11.24	22.06	2.88	2.88	2.88	2.88	1.76	1.17	1.76	1.17	2.57	1	2.57	6.51
	10.89	21.41	2.8	2.8	2.8	2.8	1.72	1.15	1.72	1.15	2.5	1	2.5	6.31	10.57
	20.81	2.73	2.73	2.73	2.73	1.68	1.12	1.68	1.12	2.43	1	2.43	6.13	10.26	20.24
	2.65	2.65	2.65	2.65	1.64	1.09	1.64	1.09	2.37	1	2.37	5.95	9.97	19.71	2.59
	2.59	2.59	2.59	1.6	1.07	1.6	1.07	2.31	1	2.31	5.78	9.7	19.2	2.52	2.52
	2.52	2.52	1.57	1.04	1.57	1.04	2.26	1	2.26	5.62	9.44	18.72	2.46	2.46	2.46
	2.46	1.53	1.02	1.53	1.02	2.2	1	2.2	5.47	9.2	18.27	2.4	2.4	2.4	2.4
	1.5	1	1.5	1	2.15	1	2.15	5.32	8.97	17.84	2.35	2.35	2.35	2.35	1.47
	0.98	1.47	0.98	2.11	1	2.11	5.18	8.75	17.42	2.29	2.29	2.29	2.29	1.44	0.96
	1.44	0.96	2.06	1	2.06	5.05	8.54	17.03	2.24	2.24	2.24	2.24	1.41	0.94	1.41
	0.94	2.02	1	2.02	3.38	8.35	16.65	2.2	2.2	2.2	2.2	1.39	0.92	1.39	0.92
	1.97	1	1.97	3.29	8.16	16.3	2.15	2.15	2.15	2.15	1.36	0.91	1.36	0.91	1.93
	1	1.93	3.2	7.98	15.96	2.11	2.11	2.11	2.11	1.33	0.89	1.33	0.89	1.9	1
	1.9	3.11	7.81	15.64	2.06	2.06	2.06	2.06	1.31	0.87	1.31	0.87	1.86	1	1.86
	3.03	7.65	15.33	2.02	2.02	2.02	2.02	1.29	0.86	1.29	0.86	1.82	1	1.82	2.24
	7.49	15.03	1.98	1.98	1.98	1.98	1.27	0.84	1.27	0.84	1.79	1	1.79	2.18	7.34
	14.73	1.95	1.95	1.95	1.95	1.24	0.83	1.24	0.83	1.76	1	1.76	2.12	7.2	14.46
	1.91	1.91	1.91	1.91	1.22	0.82	1.22	0.82	1.73	1	1.73	2.06	7.06	14.2	1.88
	1.88	1.88	1.88	1.2	0.8	1.2	0.8	1.7	1	1.7	1.87	6.93	13.94	1.84	1.84
	1.84	1.84	1.18	0.79	1.18	0.79	1.67	1	1.67	1.84	6.8	13.69	1.81	1.81	1.81
	1.81	1.17	0.78	1.17	0.78	1.64	1	1.64	1.81	6.68	13.46	1.78	1.78	1.78	1.78
	1.15	0.76	1.15	0.76	1.61	1	1.61	1.78	6.56	13.23	1.75	1.75	1.75	1.75	1.13
	0.75	1.13	0.75	1.59	1	1.59	1.75	6.45	13.01	1.72	1.72	1.72	1.72	1.11	0.74
	1.11	0.74	1.56	1	1.56	1.72	6.34	12.81	1.7	1.7	1.7	1.7	1.1	0.73	1.1
	0.73	1.54	1	1.54	1.68	6.23	12.6	1.67	1.67	1.67	1.67	1.08	0.72	1.08	0.72
	1.51	1	1.51	1.65	6.13	12.4	1.64	1.64	1.64	1.64	1.07	0.71	1.07	0.71	1.49
	1	1.49	1.62	6.03	12.21	1.62	1.62	1.62	1.62	1.05	0.7	1.05	0.7	1.47	1
	1.47	1.59	5.94	12.03	1.6	1.6	1.6	1.6	1.04	0.69	1.04	0.69	1.45	1	1.45
	1.56	5.85	11.84	1.44	1.44	1.44	1.44	1.02	0.68	1.02	0.68	1.43	1	1.43	1.53
	5.76	11.67	1.42	1.42	1.42	1.42	1.01	0.67	1.01	0.67	1.41	1	1.41	1.5	5.67
	11.51	1.4	1.4	1.4	1.4	1	0.66	1	0.66	1.39	1	1.39	1.48	5.59	11.35
	1.38	1.38	1.38	1.38	0.98	0.66	0.98	0.66	1.37	1	1.37	1.45	5.51	11.18	1.36
	1.36	1.36	1.36	0.97	0.65	0.97	0.65	1.35	1	1.35	1.43	5.43	11.04	1.34	1.34
	1.34	1.34	0.96	0.64	0.96	0.64	1.33	1	1.33	1.4	5.36	10.88	1.32	1.32	1.32
	1.32	0.95	0.63	0.95	0.63	1.32	1	1.32	1.38	5.28	10.74	1.31	1.31	1.31	1.31
	0.94	0.62	0.94	0.62	1.3	1	1.3	1.36	5.21	10.6	1.29	1.29	1.29	1.29	0.93
	0.62	0.93	0.62	1.28	1	1.28	1.34	5.14	10.47	1.27	1.27	1.27	1.27	0.91	0.61
