#PVF_File

[Revision Table]
	`character`
	12.6	30	104.61	1	1	1	1	7.93	5.29	7.93	5.29	6.27	1	6.27	9
	15	79.91	1	1	1	1	7.14	4.76	7.14	4.76	5.31	1	5.31	7	10
	64.65	1	1	1	1	6.49	4.33	6.49	4.33	4.6	1	4.6	5.73	7.5	54.28
	1	1	1	1	5.95	3.97	5.95	3.97	4.06	1	4.06	4.85	6	46.78	1
	1	1	1	5.49	3.66	5.49	3.66	3.63	1	3.63	4.2	5	41.1	1	1
	1	1	5.1	3.4	5.1	3.4	3.29	1	3.29	3.71	4.29	36.65	1	1	1
	1	4.76	3.17	4.76	3.17	3	1	3	3.32	3.75	33.07	1	1	1	1
	4.46	2.98	4.46	2.98	2.76	1	2.76	3	3.33	30.13	1	1	1	1	4.2
	2.8	4.2	2.8	2.56	1	2.56	2.74	3	27.66	1	1	1	1	3.97	2.64
	3.97	2.64	2.38	1	2.38	2.52	2.73	25.57	1	1	1	1	3.76	2.51	3.76
	2.51	2.23	1	2.23	2.33	2.5	23.78	1	1	1	1	3.57	2.38	3.57	2.38
	2.09	1	2.09	2.17	2.31	22.22	1	1	1	1	3.4	2.27	3.4	2.27	1.97
	1	1.97	2.03	2.14	20.85	1	1	1	1	3.25	2.16	3.25	2.16	1.86	1
	1.86	1.91	2	19.64	1	1	1	1	3.1	2.07	3.1	2.07	1.77	1	1.77
	1.8	1.88	18.56	1	1	1	1	2.97	1.98	2.97	1.98	1.68	1	1.68	1.7
	1.76	17.6	1	1	1	1	2.86	1.9	2.86	1.9	1.6	1	1.6	1.62	1.67
	16.73	1	1	1	1	2.75	1.83	2.75	1.83	1.53	1	1.53	1.54	1.58	15.94
	1	1	1	1	2.64	1.76	2.64	1.76	1.47	1	1.47	1.47	1.5	15.22	1
	1	1	1	2.55	1.7	2.55	1.7	1.41	1	1.41	1.4	1.43	14.57	1	1
	1	1	2.46	1.64	2.46	1.64	1.35	1	1.35	1.34	1.36	13.97	1	1	1
	1	2.38	1.59	2.38	1.59	1.3	1	1.3	1.29	1.3	13.41	1	1	1	1
	2.3	1.54	2.3	1.54	1.25	1	1.25	1.24	1.25	12.9	1	1	1	1	2.23
	1.49	2.23	1.49	1.21	1	1.21	1.19	1.2	12.43	1	1	1	1	2.16	1.44
	2.16	1.44	1.17	1	1.17	1.15	1.15	11.99	1	1	1	1	2.1	1.4	2.1
	1.4	1.13	1	1.13	1.11	1.11	11.58	1	1	1	1	2.04	1.36	2.04	1.36
	1.1	1	1.1	1.07	1.07	11.19	1	1	1	1	1.98	1.32	1.98	1.32	1.06
	1	1.06	1.03	1.03	10.84	1	1	1	1	1.93	1.29	1.93	1.29	1.03	1
	1.03	1.32	1.33	27.51	1	1	1	1	1.88	1.25	1.88	1.25	1.29	1	1.29
	1.28	1.29	26.69	1	1	1	1	1.83	1.22	1.83	1.22	1.25	1	1.25	1.24
	1.25	25.91	1	1	1	1	1.79	1.19	1.79	1.19	1.22	1	1.22	1.2	1.21
	25.17	1	1	1	1	1.74	1.16	1.74	1.16	1.19	1	1.19	1.17	1.18	24.48
	1	1	1	1	1.7	1.13	1.7	1.13	1.16	1	1.16	1.14	1.14	23.82	1
