// purchase_Type :  <Account [0]>   <Character [1]>
[purchase_limit_item]	purchase_Type	Item_Index	puchase_limit_count	
1	0	510253	1
2	0	510254	1
3	0	510255	1


// ¿œπ› ¿Á∑·≈€¿Ã ¿ÅEÆ ¡˜æÅE¿Á∑·≈€¿∏∑Œ πŸ≤˚–¬ æ∆¿Ã≈€µÅE∏¿Ω
[material_exception_item]	material_exception_item_index
1	3600
2	3601
3	3602
4	3603
5	3604
6	3605
7	3606
8	3607
9	3608
10	3609
11	3610
12	3611
13	3612
14	3613
15	3614
16	3615
17	3616
18	3617
19	3618
20	3619
21	3620
22	3621
23	3622
24	3623
25	3624
26	3625
27	3626
28	3627
29	3628
30	3629
31	3630
32	3631
33	3632
34	3633
35	3634
36	3635
37	3636
38	3637
39	3227

// µ∑ ∫Ò¿≤ ø√∏Æ±‚
// bous type : 
//		- gold(1), 
//
//
[bonus_item]	item_id	bonus_type	bonus_value
0	2679971	1	3
1	2679974	1	3
2	2679976	1	5
