[TradeRestriction]	Level	InvenGold	TradeGold
1	1	100000	1000
2	2	200000	2000
3	3	300000	3000
4	4	500000	5000
5	5	700000	7000
6	6	1000000	10000
7	7	1200000	12000
8	8	1500000	15000
9	9	1800000	18000
10	10	2200000	22000
11	11	2700000	27000
12	12	3100000	31000
13	13	3800000	38000
14	14	4400000	44000
15	15	5100000	51000
16	16	6000000	60000
17	17	6900000	69000
18	18	7800000	78000
19	19	8900000	89000
20	20	10100000	101000
21	21	11400000	114000
22	22	12600000	126000
23	23	14200000	142000
24	24	15800000	158000
25	25	17500000	175000
26	26	19200000	192000
27	27	20900000	209000
28	28	22700000	227000
29	29	24600000	246000
30	30	27700000	277000
31	31	30100000	301000
32	32	32800000	328000
33	33	35600000	356000
34	34	38900000	389000
35	35	42300000	423000
36	36	46100000	461000
37	37	50000000	500000
38	38	54400000	544000
39	39	59200000	592000
40	40	64900000	649000
41	41	76800000	768000
42	42	92100000	921000
43	43	110500000	1105000
44	44	132700000	1327000
45	45	159200000	1592000
46	46	222840000	2228400
47	47	300000000	3000000
48	48	300000000	3000000
49	49	300000000	3000000
50	50	300000000	3000000
51	51	300000000	3000000
52	52	300000000	3000000
53	53	300000000	3000000
54	54	300000000	3000000
55	55	300000000	3000000
56	56	300000000	3000000
57	57	300000000	3000000
58	58	300000000	3000000
59	59	300000000	3000000
60	60	300000000	3000000
